Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
355040,3550407,SÃO PEDRO,n/d,SP,Sudeste,1,3.2,Brasil,31561,0.755,0.539,0.674,0.863,0.741,803.02
330520,3305208,SÃO PEDRO DA ALDEIA,n/d,RJ,Sudeste,1,1.1,Brasil,87646,0.712,0.578,0.626,0.801,0.721,710.04
221050,2210508,SÃO PEDRO DO PIAUÍ,n/d,PI,Nordeste,1,7.3,Brasil,13621,0.595,0.327,0.492,0.776,0.553,249.23
431940,4319406,SÃO PEDRO DO SUL,n/d,RS,Sul,1,6.1,Brasil,16314,0.709,0.447,0.619,0.824,0.698,614.89
316430,3164308,SÃO ROQUE DE MINAS,n/d,MG,Sudeste,1,15.1,Brasil,6621,0.672,0.289,0.517,0.838,0.699,621.11
150770,1507706,SÃO SEBASTIÃO DA BOA VISTA,n/d,PA,Norte,1,4.4,Brasil,22837,0.558,0.334,0.439,0.76,0.52,202.85
431960,4319604,SÃO SEPÉ,n/d,RS,Sul,1,4.2,Brasil,23625,0.708,0.43,0.576,0.871,0.708,656.77
316510,3165107,SÃO TOMÁS DE AQUINO,n/d,MG,Sudeste,1,14.2,Brasil,7058,0.7,0.359,0.568,0.874,0.692,593.38
431980,4319802,SÃO VICENTE DO SUL,n/d,RS,Sul,1,11.9,Brasil,8377,0.685,0.431,0.553,0.831,0.698,614.13
261460,2614600,TABIRA,n/d,PE,Nordeste,1,3.8,Brasil,26370,0.605,0.33,0.504,0.77,0.57,278.14
231310,2313104,TABULEIRO DO NORTE,n/d,CE,Nordeste,1,3.4,Brasil,29103,0.645,0.371,0.547,0.791,0.62,379.75
355330,3553302,TAMBAÚ,n/d,SP,Sudeste,1,4.5,Brasil,22289,0.731,0.485,0.624,0.858,0.729,747.11
231320,2313203,TAMBORIL,n/d,CE,Nordeste,1,3.9,Brasil,25418,0.58,0.308,0.476,0.779,0.526,211.64
251650,2516508,TAPEROÁ,n/d,PB,Nordeste,1,6.7,Brasil,14836,0.578,0.275,0.456,0.749,0.564,267.88
432130,4321303,TAQUARI,n/d,RS,Sul,1,3.9,Brasil,25869,0.733,0.533,0.629,0.849,0.737,786.91
355380,3553807,TAQUARITUBA,n/d,SP,Sudeste,1,4.5,Brasil,22190,0.701,0.438,0.606,0.811,0.7,624.86
432135,4321352,TAVARES,n/d,RS,Sul,1,18.7,Brasil,5346,0.656,0.288,0.492,0.828,0.692,594.12
251670,2516706,TEIXEIRA,n/d,PB,Nordeste,1,7.1,Brasil,14089,0.605,0.391,0.527,0.741,0.566,271.44
231335,2313351,TEJUÇUOCA,n/d,CE,Nordeste,1,6.0,Brasil,16786,0.584,0.341,0.52,0.742,0.517,199.81
